
********************************************************************************
Costs report produced on 30/06/2023 22:34 from 23/10/2022 22:34 to 30/06/2023 22:34
********************************************************************************


Cost calculations: Costs shown are expected costs per trade in Sharpe Ratio (SR) units and are calculated as follows: percentage_cost /  avg_annual_vol_perc 

********************************************************************************
                 Costs *including* BOTH spreads and commissions                 
********************************************************************************



==============================================================
               SR costs (using stored slippage)               
==============================================================

                 percentage_cost  avg_annual_vol_perc  SR_cost
FED_fsb                  0.00041              0.00125  0.65541
MSCISING_fsb             0.01196              0.14771  0.16196
BTP3_fsb                 0.00095              0.02740  0.06915
OATIES_fsb               0.01061              0.39398  0.05386
COCOA_LDN_fsb            0.00172              0.15672  0.02199
SONIA3_fsb               0.00010              0.01051  0.01887
EURGBP_fsb               0.00046              0.05399  0.01687
COCOA_fsb                0.00155              0.18877  0.01645
EUR_fsb                  0.00051              0.07066  0.01447
AUD_fsb                  0.00080              0.11106  0.01433
CHF_fsb                  0.00054              0.07695  0.01411
JGB_fsb                  0.00016              0.02339  0.01406
DX_fsb                   0.00038              0.06582  0.01150
V2X_fsb                  0.00362              0.64695  0.01120
LIVECOW_fsb              0.00064              0.11488  0.01118
GBP_fsb                  0.00043              0.08093  0.01072
COTTON2_fsb              0.00154              0.30646  0.01003
PLAT_fsb                 0.00128              0.25522  0.01001
CAD_fsb                  0.00030              0.05967  0.00994
PALLAD_fsb               0.00226              0.49227  0.00917
JPY_fsb                  0.00038              0.08289  0.00911
BOBL_fsb                 0.00024              0.05462  0.00895
RICE_fsb                 0.00127              0.28401  0.00892
NZD_fsb                  0.00049              0.11440  0.00848
VIX_fsb                  0.00305              0.72496  0.00842
US2_fsb                  0.00010              0.02414  0.00797
OJ_fsb                   0.00129              0.32386  0.00797
ROBUSTA_fsb              0.00100              0.27725  0.00725
IBXEX_fsb                0.00047              0.13474  0.00703
WHEAT_ICE_fsb            0.00105              0.30438  0.00689
SUGAR_WHITE_fsb          0.00081              0.23569  0.00689
SUGAR11_fsb              0.00099              0.30658  0.00647
SHATZ_fsb                0.00006              0.01988  0.00623
COFFEE_fsb               0.00116              0.37903  0.00610
SOYBEAN_fsb              0.00071              0.25121  0.00567
FTSE100_fsb              0.00028              0.10277  0.00545
LEANHOG_fsb              0.00069              0.25980  0.00533
SOYMEAL_fsb              0.00096              0.36411  0.00530
SILVER_fsb               0.00068              0.25569  0.00529
CORN_fsb                 0.00093              0.37078  0.00504
COPPER_fsb               0.00053              0.21201  0.00500
SMI_fsb                  0.00027              0.11169  0.00492
US10_fsb                 0.00017              0.07070  0.00489
ASX_fsb                  0.00028              0.12450  0.00458
CAC_fsb                  0.00030              0.13201  0.00452
