
********************************************************************************
            Minimum capital FSB report produced on 30/06/2023 22:31             
********************************************************************************


The following report calculates minimum capital as follows:
A - min_bet: Minimum bet in account currency 
B - price: Price
C - ann_perc_stdev: Annual standard deviation in percentage terms (20 = 20%) 
D - risk_target: Risk target in percentage terms (20 = 20%) 
E - min_cap_min_bet: Minimum capital for minimum bet = A * B * C / D 
F - min_pos_avg_fc: Minimum position multiplier for average forecast 
G - min_cap_avg_fc: Minimum capital for average forecast = E * F 
H - instr_weight: Proportion of capital allocated to instrument 
I - IDM: Instrument diversification multiplier 
J - min_cap_portfolio: Minimum capital within a portfolio, allowing for minimum position = G / ( H * I) 


======================================================================================================================================================
                                                           Minimum capital in base currency                                                           
======================================================================================================================================================

                 min_bet     price  ann_perc_stdev  risk_target  min_cap_min_bet  min_pos_avg_fc  min_cap_avg_fc  instr_weight  IDM  min_cap_portfolio
FED_fsb             0.50   9492.50             0.1           25            23.82               4           95.27           0.1  2.5                381
EURIBOR-ICE_fsb     0.50   9610.00             0.4           25            86.42               4          345.67           0.1  2.5               1382
SONIA3_fsb          0.50   9408.00             1.1           25           197.72               4          790.87           0.1  2.5               3163
SHATZ_fsb           0.50  10485.00             2.0           25           416.89               4         1667.57           0.1  2.5               6670
US2_fsb             0.50  10167.19             2.4           25           490.92               4         1963.67           0.1  2.5               7854
BTP3_fsb            0.50  10466.00             2.7           25           573.46               4         2293.86           0.1  2.5               9175
JGB_fsb             0.50  14863.00             2.3           25           695.17               4         2780.66           0.1  2.5              11122
COCOA_LDN_fsb       0.50   2720.00            15.7           25           852.58               4         3410.31           0.1  2.5              13641
GOLD_fsb            1.00   1926.90            11.8           25           911.23               4         3644.91           0.1  2.5              14579
LEANHOG_fsb         0.10   9570.00            26.0           25           994.53               4         3978.11           0.1  2.5              15912
IBXEX_fsb           0.20   9416.10            13.5           25          1014.97               4         4059.90           0.1  2.5              16239
US5_fsb             0.50  10708.59             5.2           25          1108.19               4         4432.77           0.1  2.5              17731
BOBL_fsb            0.50  11572.00             5.5           25          1264.19               4         5056.75           0.1  2.5              20227
DX_fsb              0.50  10257.50             6.6           25          1350.29               4         5401.17           0.1  2.5              21604
ROBUSTA_fsb         0.50   2493.00            27.7           25          1382.36               4         5529.44           0.1  2.5              22117
FTSE100_fsb         0.50   7555.50            10.3           25          1552.90               4         6211.61           0.1  2.5              24846
US10_fsb            0.50  11225.00             7.1           25          1587.20               4         6348.81           0.1  2.5              25395
EURGBP_fsb          1.00   8626.00             5.4           25          1862.71               4         7450.84           0.1  2.5              29803
HANG_fsb            0.10  18917.00            25.1           25          1899.70               4         7598.79           0.1  2.5              30395
AEX_fsb             5.00    777.95            12.2           25          1903.53               4         7614.11           0.1  2.5              30456
SP500_fsb           1.00   4492.50            12.0           25          2164.07               4         8656.29           0.1  2.5              34625
EUROSTX_fsb         1.00   4439.00            13.0           25          2307.15               4         9228.62           0.1  2.5              36914
